信号源名称,传感器类型,L2A_1,L2A_2,L2A_3
DL5-Z9,L2,225,390,1.6
DL5-Z8,L2,235,266,1.6
DL5-Z7,L2,245,380,1.6
DL5-Z6,L2,255,304,1.6
DL5-Z5,L2,265,385,1.6
DL5-Q9,L2,275,379.975,1.6
DL5-Q8,L2,285,300,1.6
DL5-Q7,L2,295,378.5,0.6
DL5-Q6,L2,305,340,1.6
DL5-Q5,L2,342,399.9,1.6
DL5-Q4,L2,320,369.9,0.6
DL5-Q3,L2,345,360,1.6
DL5-P3,L2,360,377.5,1.6
DL5-P2,L2,355,390,1.6
DL5-P1,L2,235,392,1.6
DL5-X5,L2,260,280,2
DL5-X4,L2,290,307.4,2
DL5-X3,L2,310,350,2.4
DL5-X2,L2,370,392.9,2
DL5-X1,L2,355,399,2.2
DL5-X0,L2,290,395.2,2

