信号源名称,传感器类型,AA_1,AA_2,MMSI编号
DA-P3A,A,161.975,162.025,441385033
DA-P3F,A,161.975,162.025,441117896
DA-P4A,A,161.975,162.025,441253860
DA-P4B,A,161.975,162.025,441371670
DA-P4D,A,161.975,162.025,441427548
DA-P4F,A,161.975,162.025,441120983
DA-P5A,A,161.975,162.025,440999674
DA-P5B,A,161.975,162.025,440999024
DA-P5F,A,161.975,162.025,440999058
DA-P5X,A,161.975,162.025,440999306
DA-Q1A,A,161.975,162.025,431200777
DA-Q1B,A,161.975,162.025,431200890
DA-Q2V,A,161.975,162.025,431002169
DA-Q3A,A,161.975,162.025,431050260
DA-Q3B,A,161.975,162.025,430603542
DA-Q3C,A,161.975,162.025,431000600
DA-Q3V,A,161.975,162.025,431002578
DA-Q4A,A,161.975,162.025,431200654
DA-Q4C,A,161.975,162.025,431200160
DA-Q4D,A,161.975,162.025,431200369
DA-Q4F,A,161.975,162.025,431200226
DA-Q5C,A,161.975,162.025,431999669
DA-Q5D,A,161.975,162.025,431999002
DA-Q5F,A,161.975,162.025,431999120
DA-Q5G,A,161.975,162.025,431000669
DA-Q5J,A,161.975,162.025,431000669
DA-Q5K,A,161.975,162.025,431000669
DA-Q5V,A,161.975,162.025,431000669
DA-Z4B,A,161.975,162.025,369400765
DA-Z4D,A,161.975,162.025,369400270
DA-Z4S,A,161.975,162.025,369400700
DA-Z5D,A,161.975,162.025,369978305
DA-Z5X,A,161.975,162.025,369760447
DA-Z6,A,161.975,162.025,369070400
DA-Z7A,A,161.975,162.025,368913000
DA-Z7B,A,161.975,162.025,368013080
DA-Z7D,A,161.975,162.025,368913000
DA-Z7V,A,161.975,162.025,369970409
DA-Z8A,A,161.975,162.025,366970800
DA-Z8B,A,161.975,162.025,366080109
DA-Z8D,A,161.975,162.025,366878199
DA-Z9C,A,161.975,162.025,366950400
DA-Z9F,A,161.975,162.025,366070102
FA-X1A,A,161.975,162.025,412119710
FA-X2A,A,161.975,162.025,412230654

