目标编号,信号源批号,传感器类型,RA_1_1,RA_1_2,RA_2_1,RA_2_2,RA_3_1,RA_3_2,RA_4_1,RA_4_2
101,1011,R,3,"2006.2168, 2102.1056",2,"15.2058, 20.0934, 29.9978, 40.3176",1,"1004.4922, 1105.5855, 1197.1691",2,0.7818
101,1012,R,3,"9390.7683, 9432.9896",2,"1.1998, 2.4912, 3.9909",2,"563.9793, 1105.8848",1,0
101,1013,R,3,"5151.59, 5258.8197",2,"5.2017, 10.4509, 20.7715, 41.5125",2,"703.051, 891.2348, 1197.6143, 1302.6857",9,"0.3507, 9.9941, 19.9072, 29.8128, 39.8319"
104,1041,R,2,"2007.8563, 2032.5275, 2056.9148, 2071.9029",2,"10.3424, 15.1118, 20.3443",1,1106.0717,2,0.5557
104,1042,R,3,"9124.7899, 9499.3766",2,"10.2086, 20.4873, 41.2124",2,"1508.2347, 1699.1014, 2009.8292",2,0.8881
104,1043,R,3,"9375.8552, 9437.9427",2,"1.1982, 2.5043, 3.9644",2,"561.7692, 1098.4741",1,0
107,1071,R,3,"5519.6034, 5568.0588",2,"20.4998, 51.1398",1,1211.4204,2,0.3408
107,1072,R,3,"9595.504, 9708.1992",2,"14.0022, 28.4226, 42.5015, 84.8151",3,"1040.88, 1219.2797",2,0.2519
107,1073,R,3,"4151.8945, 4247.9611",2,"5.1741, 10.4247, 20.7736, 41.9620",2,"703.8937, 886.9508, 1203.9133, 1299.04",9,"0.3505, 10.0024, 19.9803, 29.8245, 39.8971"
110,1101,R,3,"2011.7947, 2103.4308",2,"15.3035, 20.1349, 30.0098, 40.3873",1,"992.8689, 1099.3119, 1198.7153",2,0.7809
110,1102,R,2,"8544.6696, 8848.9579, 9164.689, 9449.948",2,"5.195, 10.3621, 20.77063",1,1296.1944,2,0.6712
110,1103,R,3,"9376.1476, 9412.3714",2,"3.7821, 8.0824, 16.1367, 32.3333",3,"1119.0316, 1215.7478",2,0.3356
113,1131,R,3,"9378.2654, 9446.3121",2,"3.7824, 8.0801, 16.0957, 32.5875",3,"1122.7663, 1219.0557",2,0.3351
