时间,经度,纬度,传感器类型,信号源批号
2018042910472594,124.4853485,26.31085726,R,196
2018042910482472,124.4741262,26.30471079,R,196
2018042910491875,124.4688345,26.29859388,R,196
2018042910494885,124.4677548,26.29652042,R,196
2018042910505011,124.4633233,26.29138533,R,196
2018042910525979,124.45245,26.278689,R,196
2018042910541319,124.4453158,26.27147757,R,196
2018042910562901,124.4367997,26.25805574,R,196
2018042910573247,124.426567,26.25157374,R,196
2018042910584217,124.4230987,26.24552324,R,196
2018042911000809,124.4149264,26.23666434,R,196
2018042911010758,124.409947,26.2311177,R,196
2018042911034333,124.3950435,26.2174044,R,196
2018042911055787,124.3874806,26.20449254,R,196
2018042911063208,124.3820818,26.20104278,R,196
2018042911073971,124.3752898,26.19482882,R,196
2018042911100856,124.3613533,26.17911168,R,196
2018042911104938,124.3601448,26.17588468,R,196
2018042911113113,124.3587235,26.17210471,R,196
2018042911125953,124.3537402,26.16423776,R,196
2018042911142278,124.340003,26.15576414,R,196
2018042911153743,124.3405288,26.14807909,R,196
2018042911165894,124.3273948,26.14099902,R,196
2018042911175997,124.3278228,26.13531267,R,196
2018042911192242,124.3205157,26.12699539,R,196
2018042911211643,124.31174,26.11505809,R,196
2018042911220689,124.3011904,26.11191722,R,196
2018042911230251,124.2993859,26.1048525,R,196
2018042911242215,124.2918017,26.09818255,R,196
2018042911252920,124.2842246,26.09095961,R,196
2018042911265175,124.2803945,26.08359079,R,196
2018042911281638,124.2734227,26.07636827,R,196
2018042911303274,124.2586616,26.06218659,R,196
2018042910302567,124.5780595,26.40910015,R,261
2018042910313872,124.5755815,26.40178219,R,261
2018042910324658,124.5657943,26.3946053,R,261
2018042910333086,124.563657,26.39011814,R,261
2018042910352440,124.5517094,26.37928171,R,261
2018042910363553,124.5426372,26.37350579,R,261
2018042910394205,124.5287887,26.35422752,R,261
2018042910405117,124.5269605,26.34889208,R,261
2018042910412564,124.520379,26.34545676,R,261
2018042910434952,124.5060125,26.33196647,R,261
2018042910463296,124.4954959,26.31679081,R,261
2018042910491177,124.4807857,26.30040863,R,261
2018042910505447,124.4750168,26.29034951,R,261
2018042910521243,124.4666499,26.28412824,R,261
2018042910530585,124.4643282,26.27888549,R,261
2018042910541105,124.4588793,26.27195784,R,261
2018042910564055,124.4410938,26.25692122,R,261
2018042910573536,124.4358995,26.25263474,R,261
2018042910581195,124.438359,26.24837527,R,261
2018042910593061,124.4301942,26.24153718,R,261
2018042911002274,124.420768,26.23620447,R,261
2018042911025594,124.4147296,26.22147357,R,261
2018042911041491,124.404958,26.21474448,R,261
2018042911052169,124.3994992,26.20794345,R,261
2018042911073410,124.3886915,26.19582799,R,261
2018042911091652,124.3811945,26.18486169,R,261
2018042911101880,124.3766388,26.17985411,R,261
2018042911111080,124.3684309,26.17362417,R,261
2018042911122073,124.3600742,26.16844044,R,261
2018042911134386,124.358175,26.16024174,R,261
2018042911151147,124.3474939,26.15240542,R,261
2018042911175427,124.337668,26.13511762,R,261
2018042911191733,124.3268408,26.12881598,R,261
2018042911202224,124.3249587,26.12182481,R,261
2018042911205430,124.3170181,26.11895271,R,261
2018042911231779,124.3043992,26.10463964,R,261
2018042911270964,124.2906331,26.08198037,R,261
2018042910302956,124.5742536,26.40903383,R,298
2018042910314317,124.5731118,26.40058895,R,298
2018042910330988,124.5660852,26.39273567,R,298
2018042910344184,124.5558794,26.38444548,R,298
2018042910352438,124.5517947,26.3811328,R,298
2018042910362658,124.5512933,26.37422539,R,298
2018042910373342,124.5409449,26.36876812,R,298
2018042910381197,124.5379855,26.36356517,R,298
2018042910393877,124.5283145,26.35561461,R,298
2018042910405986,124.5227443,26.34844974,R,298
2018042910414352,124.5189275,26.34301338,R,298
2018042910422557,124.519992,26.34036062,R,298
2018042910434791,124.5077752,26.3318392,R,298
2018042910442398,124.5052244,26.32915973,R,298
2018042910454424,124.499155,26.32062631,R,298
2018042910481607,124.4886051,26.30598904,R,298
2018042910493597,124.4772761,26.299677,R,298
2018042910525755,124.4659026,26.27986636,R,298
2018042910541985,124.4525812,26.27139037,R,298
2018042910552061,124.4504209,26.26495616,R,298
2018042910561927,124.4419761,26.26061662,R,298
2018042910565671,124.4445616,26.25683541,R,298
2018042910575351,124.4392993,26.25028808,R,298
2018042910593038,124.4271481,26.24111452,R,298
2018042911003564,124.4252982,26.23659529,R,298
2018042911023566,124.4140853,26.2241513,R,298
2018042911034721,124.4103264,26.21635703,R,298
2018042911054143,124.3982555,26.20549176,R,298
2018042911080063,124.3891332,26.19236195,R,298
2018042911091738,124.3787261,26.18652555,R,298
2018042911110749,124.368841,26.17514804,R,298
2018042911115303,124.3660039,26.17096991,R,298
2018042911124531,124.3596757,26.16583631,R,298
2018042911141191,124.3576864,26.15670757,R,298
2018042911145936,124.3499391,26.15384209,R,298
2018042911154049,124.3447221,26.14868543,R,298
2018042911165880,124.3394607,26.14116649,R,298
2018042911174031,124.3380952,26.13783619,R,298
2018042911182995,124.3314646,26.13284776,R,298
2018042911192609,124.3249047,26.12727282,R,298
2018042911204771,124.323341,26.12004512,R,298
2018042911225784,124.3100656,26.1081681,R,298
2018042911234941,124.3039826,26.10260745,R,298
2018042911241981,124.3001706,26.09901568,R,298
2018042911253565,124.293687,26.09160276,R,298
2018042911264702,124.2900239,26.08524867,R,298
2018042911280399,124.2827554,26.0770616,R,298
2018042911293247,124.2776714,26.07030257,R,298
2018042911302758,124.2676036,26.06450908,R,298
2018042911311054,124.2701537,26.05958078,R,298
2018042910311748,124.578894,26.39816243,R,392
2018042910320463,124.5705372,26.39270245,R,392
2018042910360995,124.5553752,26.37087067,R,392
2018042910374113,124.5423377,26.36131337,R,392
2018042910382083,124.5422217,26.35772822,R,392
2018042910390959,124.5375424,26.35310952,R,392
2018042910402876,124.5277416,26.34575479,R,392
2018042910413597,124.5207512,26.33871056,R,392
2018042910421509,124.5235419,26.33439636,R,392
2018042910431875,124.5180613,26.3290583,R,392
2018042910441295,124.5106916,26.32305919,R,392
2018042910453828,124.5004975,26.31628141,R,392
2018042910470602,124.497245,26.3064837,R,392
2018042910475706,124.4896132,26.30343369,R,392
2018042910501170,124.4825509,26.29013604,R,392
2018042910513608,124.4738083,26.282458,R,392
2018042910532955,124.4618895,26.27076533,R,392
2018042910551885,124.4578785,26.25977261,R,392
2018042910575865,124.4429626,26.24452843,R,392
2018042910584231,124.4402772,26.24135415,R,392
2018042910595333,124.4276714,26.23502929,R,392
2018042911020827,124.4170822,26.22084401,R,392
2018042911063279,124.3989526,26.19634842,R,392
2018042911070783,124.3956417,26.1917124,R,392
2018042911074235,124.3933369,26.18938749,R,392
2018042911083504,124.3866412,26.18401919,R,392
2018042911095170,124.379496,26.17728504,R,392
2018042911104188,124.3767069,26.17153815,R,392
2018042911115831,124.3721472,26.16390692,R,392
2018042911132135,124.3635714,26.15667933,R,392
2018042911141353,124.3579447,26.15207205,R,392
2018042911152599,124.3499685,26.14412668,R,392
2018042911160073,124.3502438,26.14144774,R,392
2018042911163085,124.3451099,26.1389668,R,392
2018042911170341,124.3438065,26.1361961,R,392
2018042911174708,124.3426469,26.13099305,R,392
2018042911181971,124.3395086,26.12805043,R,392
2018042911192797,124.3341424,26.12247826,R,392
2018042911202899,124.329255,26.11628356,R,392
2018042911215489,124.3209375,26.10715804,R,392
2018042911225656,124.3091659,26.10228496,R,392
2018042911235272,124.3043887,26.09599025,R,392
2018042911245074,124.3001128,26.09040948,R,392
2018042911252511,124.2985748,26.08658712,R,392
2018042911264103,124.2901834,26.08005902,R,392
2018042911290946,124.2807447,26.06599067,R,392
2018042911304333,124.2720685,26.0567557,R,392
2018042910313902,124.5777388,26.39763462,R,439
2018042910332248,124.5720044,26.38765613,R,439
2018042910352922,124.556172,26.37691987,R,439
2018042910360988,124.5530097,26.37288668,R,439
2018042910373227,124.5501608,26.36407646,R,439
2018042910394449,124.5347278,26.35160584,R,439
2018042910430263,124.516212,26.33282349,R,439
2018042910433423,124.5164784,26.32964584,R,439
2018042910440813,124.5163813,26.32596122,R,439
2018042910464131,124.4995305,26.31275988,R,439
2018042910492247,124.4882835,26.29573935,R,439
2018042910503167,124.4818322,26.29047141,R,439
2018042910552278,124.4555891,26.26097397,R,439
2018042910562052,124.4508569,26.25606632,R,439
2018042910593408,124.4381517,26.23837869,R,439
2018042911004019,124.42558,26.23185263,R,439
2018042911050994,124.4041516,26.20510618,R,439
2018042911061638,124.3998141,26.20032571,R,439
2018042911074525,124.3933716,26.19101404,R,439
2018042911083456,124.3914721,26.18570173,R,439
2018042911110496,124.3753728,26.17198434,R,439
2018042911122304,124.3684783,26.16518425,R,439
2018042911145763,124.3577625,26.15036769,R,439
2018042911160302,124.3499503,26.14329601,R,439
2018042911165868,124.3483546,26.13788078,R,439
2018042911173097,124.3424491,26.13453621,R,439
2018042911182995,124.3376668,26.12837983,R,439
2018042911221190,124.3186514,26.10856548,R,439
2018042911230861,124.3117628,26.10189209,R,439
2018042911244231,124.3026094,26.09338564,R,439
2018042911255688,124.2961051,26.08633174,R,439
2018042911265390,124.2978111,26.08185454,R,439
2018042911301908,124.2750683,26.06050868,R,439
2018042910294631,124.5867868,26.40602146,R,472
2018042910310272,124.5790809,26.39759154,R,472
2018042910320009,124.5754655,26.39204029,R,472
2018042910325443,124.571351,26.38732646,R,472
2018042910362971,124.5466075,26.36721197,R,472
2018042910370372,124.5457312,26.36291363,R,472
2018042910375379,124.5461705,26.35814605,R,472
2018042910390993,124.5369874,26.35240087,R,472
2018042910394253,124.5362193,26.34850647,R,472
2018042910413925,124.5229628,26.33676791,R,472
2018042910424221,124.5138387,26.33207201,R,472
2018042910433224,124.51444,26.32714414,R,472
2018042910440551,124.5084738,26.32255585,R,472
2018042910450336,124.5059175,26.3166369,R,472
2018042910461152,124.5016809,26.31154883,R,472
2018042910464562,124.4978243,26.30859315,R,472
2018042910481433,124.4901139,26.29861762,R,472
2018042910502805,124.4774655,26.28567695,R,472
2018042910514345,124.4695264,26.27957999,R,472
2018042910523247,124.4668037,26.27491453,R,472
2018042910534427,124.4573384,26.26786046,R,472
2018042910541670,124.4593626,26.26374551,R,472
2018042910545079,124.4592558,26.26185237,R,472
2018042910572824,124.4389176,26.24730114,R,472
2018042910584634,124.4317827,26.23969687,R,472
2018042911000024,124.4322859,26.23110625,R,472
2018042911004703,124.4231805,26.22711284,R,472
2018042911020999,124.4142033,26.21895157,R,472
2018042911024264,124.4178674,26.21646947,R,472
2018042911031375,124.409817,26.21360285,R,472
2018042911042653,124.4095219,26.20602692,R,472
2018042911071193,124.38914,26.19120168,R,472
2018042911074629,124.3882625,26.18790968,R,472
2018042911095713,124.3790294,26.17536608,R,472
2018042911113743,124.3704115,26.1649177,R,472
2018042911133736,124.3608425,26.15285509,R,472
2018042911140891,124.3579902,26.15115141,R,472
2018042911161302,124.345699,26.13984326,R,472
2018042911172369,124.3373141,26.13142725,R,472
2018042911181458,124.3378744,26.12646093,R,472
2018042911192806,124.3275323,26.12103745,R,472
2018042911200251,124.3278657,26.11687301,R,472
2018042911204262,124.3261,26.11378861,R,472
2018042911212568,124.316235,26.10958043,R,472
2018042911221300,124.3193067,26.10381572,R,472
2018042911225931,124.3078307,26.0995088,R,472
2018042911241020,124.3082222,26.09234858,R,472
2018042911244221,124.3054897,26.09038742,R,472
2018042911263882,124.2892459,26.07956566,R,472
2018042911275601,124.2866411,26.07166813,R,472
2018042911291093,124.2834284,26.0635265,R,472
2018042911302779,124.2719008,26.05810797,R,472
2018042910300182,122.9327767,26.85533198,R,540
2018042910323233,122.9404302,26.87488899,R,540
2018042910341458,122.948265,26.88807537,R,540
2018042910345985,122.9511375,26.89494777,R,540
2018042910364951,122.9519195,26.90934747,R,540
2018042910395022,122.9649516,26.93357207,R,540
2018042910415635,122.9757127,26.94903824,R,540
2018042910424228,122.9772352,26.95550497,R,540
2018042910451612,122.9906138,26.9754199,R,540
2018042910471457,122.9961349,26.99246832,R,540
2018042910483495,122.9996537,27.00206964,R,540
2018042910522220,123.0115457,27.03195879,R,540
2018042910541268,123.0180409,27.04601272,R,540
2018042910551765,123.0270905,27.05619722,R,540
2018042910585870,123.0372204,27.08478422,R,540
2018042911002397,123.0454569,27.09613319,R,540
2018042911010664,123.0423527,27.10243963,R,540
2018042911021507,123.0526757,27.11117819,R,540
2018042911050867,123.05675,27.13400787,R,540
2018042911054100,123.0657223,27.13729616,R,540
2018042911073554,123.0728045,27.15317719,R,540
2018042911082160,123.0726368,27.16007095,R,540
2018042911110359,123.0794096,27.18075724,R,540
2018042911130942,123.0876534,27.19779234,R,540
2018042911165285,123.1056999,27.22767426,R,540
2018042911180165,123.1109459,27.23654705,R,540
2018042911184941,123.1075207,27.24151327,R,540
2018042911222751,123.1267817,27.26997576,R,540
2018042911232986,123.1322289,27.27905785,R,540
2018042911242664,123.130835,27.28567549,R,540
2018042911255052,123.1383779,27.29766662,R,540
2018042911275801,123.143888,27.31547339,R,540
2018042910295323,122.9280558,26.8548388,R,572
2018042910345799,122.9514486,26.89537085,R,572
2018042910353066,122.9529607,26.89978537,R,572
2018042910361967,122.9524357,26.90705207,R,572
2018042910374629,122.9602225,26.91847769,R,572
2018042910393819,122.965845,26.9325194,R,572
2018042910404601,122.9674115,26.94133032,R,572
2018042910425214,122.9746532,26.95908894,R,572
2018042910434995,122.9819552,26.96635719,R,572
2018042910451217,122.9853461,26.97720777,R,572
2018042910461478,122.9897021,26.98591083,R,572
2018042910473856,122.9944638,26.9960942,R,572
2018042910481233,122.9956102,27.00112086,R,572
2018042910494411,123.0031161,27.01257115,R,572
2018042910510616,123.0105752,27.0241944,R,572
2018042910514754,123.0091844,27.02874106,R,572
2018042910522174,123.0149886,27.03396605,R,572
2018042910525926,123.0155215,27.03939558,R,572
2018042910540877,123.0197504,27.0476678,R,572
2018042910544486,123.0199039,27.05225463,R,572
2018042910555829,123.0245846,27.06150722,R,572
2018042910564418,123.0308004,27.067802,R,572
2018042910581642,123.0337301,27.07956164,R,572
2018042910591102,123.0394344,27.08730812,R,572
2018042910594711,123.0447503,27.09198241,R,572
2018042911011206,123.0481488,27.10323741,R,572
2018042911015679,123.0506328,27.11008634,R,572
2018042911023440,123.055191,27.11448677,R,572
2018042911035263,123.0585517,27.12480334,R,572
2018042911045330,123.0609828,27.13332512,R,572
2018042911055757,123.067664,27.14050743,R,572
2018042911063671,123.0629701,27.1466871,R,572
2018042911074911,123.0691147,27.1556892,R,572
2018042911104089,123.0854714,27.17835514,R,572
2018042911122679,123.0903127,27.19282923,R,572
2018042911131393,123.0908478,27.19963938,R,572
2018042911134833,123.0946292,27.20285443,R,572
2018042911144468,123.0959855,27.2112376,R,572
2018042911155413,123.0999862,27.22087486,R,572
2018042911171407,123.1035982,27.23003341,R,572
2018042911175922,123.1077425,27.23618357,R,572
2018042911204375,123.1150793,27.25833114,R,572
2018042911214571,123.1224546,27.26729731,R,572
2018042911224196,123.124809,27.27395943,R,572
2018042911231637,123.1320868,27.27805279,R,572
2018042911241286,123.1322035,27.28601442,R,572
2018042911244451,123.1364974,27.290298,R,572
2018042911252341,123.1353905,27.29510291,R,572
2018042911264159,123.1406511,27.30463483,R,572
2018042911273118,123.1466285,27.31256453,R,572
2018042911281181,123.1504616,27.31753739,R,572
2018042911294379,123.1524136,27.32944423,R,572
2018042911311204,123.1610765,27.34047366,R,572
2018042910300223,122.9322372,26.85504296,R,625
2018042910312098,122.9357364,26.8652084,R,625
2018042910323360,122.9434252,26.87474441,R,625
2018042910351837,122.952455,26.89773046,R,625
2018042910361683,122.9571529,26.90460817,R,625
2018042910365918,122.9572618,26.90952675,R,625
2018042910375349,122.9584896,26.9173418,R,625
2018042910391098,122.9640486,26.92838039,R,625
2018042910411293,122.9750651,26.9432714,R,625
2018042910420427,122.9710728,26.95155514,R,625
2018042910443363,122.9814436,26.97010081,R,625
2018042910455522,122.9890005,26.98088786,R,625
2018042910503935,123.0071219,27.01817707,R,625
2018042910515022,123.0076425,27.02867543,R,625
2018042910524822,123.0160032,27.03493595,R,625
2018042910544585,123.0251271,27.05223407,R,625
2018042910553970,123.0222251,27.05776472,R,625
2018042910562702,123.0277642,27.06426529,R,625
2018042910565856,123.0284598,27.06923536,R,625
2018042910573105,123.036101,27.0724476,R,625
2018042910582735,123.0365671,27.08062337,R,625
2018042910585982,123.035738,27.08533305,R,625
2018042911022567,123.0474839,27.11293849,R,625
2018042911073996,123.070212,27.15406641,R,625
2018042911085894,123.0773534,27.1645313,R,625
2018042911110631,123.0853001,27.18068014,R,625
2018042911161335,123.1042398,27.22089328,R,625
2018042911200229,123.1133547,27.2517167,R,625
2018042911221158,123.1240703,27.26818905,R,625
2018042911225090,123.1291405,27.27462218,R,625
2018042911240437,123.127651,27.28396867,R,625
2018042911270320,123.1445798,27.30790677,R,625
2018042911281683,123.1494882,27.31759366,R,625
2018042910352738,122.0793409,26.96601551,R,672
2018042910380959,122.0795658,26.98139095,R,672
2018042910391158,122.0832717,26.98814856,R,672
2018042910394196,122.0864102,26.9916808,R,672
2018042910414710,122.0845421,27.00335777,R,672
2018042910440442,122.0852462,27.01676936,R,672
2018042910445340,122.086378,27.02126147,R,672
2018042910453312,122.0836815,27.02488937,R,672
2018042910462911,122.0842093,27.03062335,R,672
2018042910484986,122.0912958,27.04372764,R,672
2018042910493513,122.0895346,27.04884887,R,672
2018042910504539,122.0874254,27.05405176,R,672
2018042910512493,122.0925574,27.05967689,R,672
2018042910560482,122.0884499,27.08502651,R,672
2018042910573065,122.092365,27.09423125,R,672
2018042910593488,122.0955217,27.10597114,R,672
2018042911004458,122.093036,27.11211958,R,672
2018042911030053,122.0946718,27.12651173,R,672
2018042911041808,122.0963368,27.13380036,R,672
2018042911075724,122.1011129,27.15533024,R,672
2018042911091060,122.1008009,27.16201294,R,672
2018042911100551,122.0955869,27.16780764,R,672
2018042911125935,122.0987293,27.18416265,R,672
2018042911141186,122.100135,27.19190256,R,672
2018042911150388,122.1044704,27.1967969,R,672
2018042911171849,122.1020357,27.2091008,R,672
2018042911182325,122.10113,27.21593325,R,672
2018042911185405,122.1042562,27.21828286,R,672
2018042911201760,122.1040042,27.2270749,R,672
2018042911235395,122.1091814,27.24700046,R,672
2018042911255760,122.1105037,27.26026809,R,672
2018042911264249,122.1099451,27.26321672,R,672
2018042911280793,122.1097883,27.27107806,R,672
2018042911292142,122.1106828,27.27954315,R,672
2018042911302895,122.1124917,27.28623748,R,672
2018042910354822,124.544804,26.3809457,L1,241
2018042910364912,124.539615,26.3751259,L1,241
2018042910425829,124.508115,26.3398234,L1,241
2018042910451154,124.496761,26.3270837,L1,241
2018042910555869,124.441567,26.2651968,L1,241
2018042910572842,124.43392,26.256626,L1,241
2018042911072777,124.382795,26.1993181,L1,241
2018042911093307,124.372118,26.1873384,L1,241
2018042911143293,124.346542,26.158673,L1,241
2018042911165273,124.334621,26.1452947,L1,241
2018042911254861,124.28891,26.0940492,L1,241
2018042911273243,124.280053,26.0841263,L1,241
2018042910342412,124.557441,26.3853951,L1,379
2018042910394327,124.530224,26.35488,L1,379
2018042910413931,124.52033,26.3437849,L1,379
2018042910461980,124.496413,26.3169618,L1,379
2018042910515071,124.468176,26.285331,L1,379
2018042910524203,124.463805,26.2804154,L1,379
2018042910562760,124.444568,26.2588474,L1,379
2018042910574392,124.438063,26.2515538,L1,379
2018042911064524,124.391893,26.1997856,L1,379
2018042911124207,124.36146,26.1656697,L1,379
2018042911150422,124.349339,26.1520727,L1,379
2018042911161188,124.343564,26.1455995,L1,379
2018042911272197,124.286421,26.0815335,L1,379
2018042910381903,124.543676,26.3602248,L1,524
2018042910410371,124.529617,26.3444802,L1,524
2018042910422980,124.522282,26.3362509,L1,524
2018042910524295,124.469991,26.2776169,L1,524
2018042910534938,124.464327,26.2712652,L1,524
2018042910563456,124.45022,26.2554751,L1,524
2018042911044540,124.408377,26.2085382,L1,524
2018042911072819,124.394485,26.1929711,L1,524
2018042911102292,124.379595,26.176269,L1,524
2018042911110840,124.375715,26.1719222,L1,524
2018042911180193,124.340439,26.1323687,L1,524
2018042911203676,124.327248,26.1175614,L1,524
2018042911213094,124.322611,26.1123837,L1,524
2018042911230308,124.314767,26.103572,L1,524
2018042911300888,124.278445,26.0628641,L1,524
2018042911303971,124.275813,26.0599171,L1,524
2018042910312212,122.935242,26.8658388,L1,658
2018042910380883,122.960367,26.9195664,L1,658
2018042910405359,122.97054,26.9413341,L1,658
2018042910563635,123.028821,27.0658885,L1,658
2018042910571904,123.031448,27.07153,L1,658
2018042911004985,123.044484,27.0993741,L1,658
2018042911060490,123.063945,27.141,L1,658
2018042911084532,123.073877,27.1621881,L1,658
2018042911100900,123.079032,27.1732452,L1,658
2018042911111433,123.083074,27.1818692,L1,658
2018042911140311,123.093507,27.20417,L1,658
2018042911191426,123.112725,27.2452745,L1,658
2018042911230635,123.127072,27.2759208,L1,658
2018042910342199,124.548485,26.3850705,L2,253
2018042910355040,124.540928,26.3766202,L2,253
2018042910434392,124.500554,26.3313493,L2,253
2018042910521196,124.457225,26.2827658,L2,253
2018042911145588,124.340899,26.1523448,L2,253
2018042911181734,124.323728,26.1330731,L2,253
2018042911200129,124.31486,26.1231375,L2,253
2018042911231424,124.298402,26.1046889,L2,253
2018042911200849,123.116065,27.2523793,A,671
