时间,经度,纬度,传感器类型,信号源批号
2018042910310781,124.5658091,26.40435087,R,112
2018042910342705,124.5501161,26.38606821,R,112
2018042910352961,124.546653,26.37888844,R,112
2018042910362463,124.5391572,26.37349142,R,112
2018042910392908,124.5213736,26.35745042,R,112
2018042910414504,124.5153257,26.3443906,R,112
2018042910424798,124.5024364,26.33863099,R,112
2018042910454354,124.489799,26.32156231,R,112
2018042910462651,124.4913011,26.31579736,R,112
2018042910473740,124.4803843,26.31002856,R,112
2018042910481958,124.4763402,26.30690343,R,112
2018042910493368,124.4685023,26.29884412,R,112
2018042910505181,124.4682071,26.29209952,R,112
2018042910513697,124.4581248,26.28617074,R,112
2018042910523821,124.4544829,26.28214908,R,112
2018042910534643,124.4531778,26.27549543,R,112
2018042910545779,124.4439062,26.26796092,R,112
2018042910554811,124.4405483,26.26288202,R,112
2018042910564468,124.4354581,26.25728999,R,112
2018042910582883,124.427506,26.24810165,R,112
2018042911003132,124.4116937,26.23496261,R,112
2018042911010147,124.4131151,26.23280782,R,112
2018042911014091,124.4057936,26.23012737,R,112
2018042911030398,124.4050621,26.22143026,R,112
2018042911033538,124.3984929,26.21828207,R,112
2018042911043318,124.3976137,26.21279337,R,112
2018042911061534,124.3840956,26.20265824,R,112
2018042911070417,124.3826159,26.19927738,R,112
2018042911073448,124.3828784,26.19643749,R,112
2018042911083671,124.3704543,26.18954903,R,112
2018042911102726,124.3610748,26.17993808,R,112
2018042911115865,124.3530179,26.17012619,R,112
2018042911123030,124.3555938,26.16703318,R,112
2018042911151533,124.340862,26.15083543,R,112
2018042911172175,124.3261962,26.1387133,R,112
2018042911180538,124.327938,26.13580181,R,112
2018042911192992,124.3193038,26.12752187,R,112
2018042911201560,124.3110137,26.12275879,R,112
2018042911221738,124.3006242,26.11170436,R,112
2018042911225320,124.2981141,26.10765795,R,112
2018042911233079,124.3001241,26.10413742,R,112
2018042911254040,124.2835042,26.09106207,R,112
2018042911262069,124.281235,26.08795994,R,112
2018042911295783,124.2627552,26.06630743,R,112
2018042910295762,124.5687336,26.41044025,R,156
2018042910310889,124.5686918,26.40487872,R,156
2018042910322036,124.5613046,26.39790082,R,156
2018042910325657,124.5585099,26.39365111,R,156
2018042910341255,124.5513592,26.38676336,R,156
2018042910362195,124.5392562,26.37483952,R,156
2018042910365626,124.5348081,26.37140022,R,156
2018042910382172,124.5301982,26.36237876,R,156
2018042910403402,124.5145625,26.3498206,R,156
2018042910414454,124.5087935,26.3427325,R,156
2018042910422580,124.5042551,26.33962442,R,156
2018042910465223,124.4890823,26.31428927,R,156
2018042910472574,124.486269,26.31041774,R,156
2018042910485495,124.4718809,26.30290998,R,156
2018042910494213,124.4706153,26.29709174,R,156
2018042910511211,124.4644596,26.28869895,R,156
2018042910523792,124.4542045,26.28215325,R,156
2018042910535047,124.4517403,26.27526531,R,156
2018042910555295,124.4397169,26.26167323,R,156
2018042910563295,124.4352563,26.25877126,R,156
2018042910571405,124.4304636,26.25557634,R,156
2018042910584050,124.4269869,26.24607625,R,156
2018042911000090,124.421286,26.23956664,R,156
2018042911005163,124.4156086,26.23466758,R,156
2018042911015830,124.4073436,26.22794215,R,156
2018042911031578,124.4049905,26.21926798,R,156
2018042911055479,124.3859674,26.20481805,R,156
2018042911093232,124.3696303,26.18506321,R,156
2018042911111439,124.364301,26.1748631,R,156
2018042911133872,124.346487,26.16045685,R,156
2018042911141260,124.3434677,26.15771841,R,156
2018042911145886,124.3449384,26.15252274,R,156
2018042911182411,124.3205717,26.13355513,R,156
2018042911213383,124.3062232,26.11622666,R,156
2018042911225545,124.3016117,26.10815886,R,156
2018042911240949,124.2921834,26.09994569,R,156
2018042911250932,124.2905401,26.09503242,R,156
2018042911255594,124.287865,26.08992285,R,156
2018042911291249,124.2687326,26.07237735,R,156
2018042911301134,124.2649075,26.06495517,R,156
2018042910305849,124.5681516,26.40396981,R,196
2018042910320475,124.557994,26.39875689,R,196
2018042910324507,124.5574967,26.39343795,R,196
2018042910332400,124.5502657,26.39061701,R,196
2018042910353283,124.5425021,26.37883545,R,196
2018042910370157,124.5375157,26.37023485,R,196
2018042910373244,124.5355383,26.36608753,R,196
2018042910384636,124.5258688,26.35961499,R,196
2018042910393976,124.5195419,26.35432336,R,196
2018042910430853,124.5047342,26.33462629,R,196
2018042910440672,124.5018904,26.32926081,R,196
2018042910463985,124.4855757,26.31374561,R,196
