时间,经度,纬度,传感器类型,L1A_1,L1A_2,L1A_3,信号源批号,目标编号
2018042910382788,125.2094465,28.36455419,L1,244.8366,320.2404,11.3,319,3
2018042910414302,125.2380671,28.36501762,L1,244.8366,320.5507,11,319,3
2018042910431516,125.2557319,28.36410414,L1,244.8366,320.5507,10.7,319,3
2018042910590937,125.3809796,28.36495525,L1,244.8366,320.5507,11.1,319,3
2018042911060288,125.4408008,28.36571216,L1,244.8366,320.5507,11.2,319,3
2018042911064817,125.4491236,28.36503688,L1,244.8366,320.5507,10.8,319,3
2018042911120191,125.495529,28.36544697,L1,244.8366,320.5507,10.9,319,3
2018042911125638,125.4982574,28.3648119,L1,244.8366,320.5507,11.2,319,3
2018042911161926,125.5237803,28.36542137,L1,244.8366,320.5507,10.8,319,3
2018042911194453,125.5542537,28.36499613,L1,244.8366,320.5507,11,319,3
2018042911250172,125.5976486,28.36542106,L1,244.8366,320.5507,11,319,3
2018042911282026,125.6294056,28.36516186,L1,244.8366,320.5507,10.9,319,3
2018042911374124,125.6977267,28.36542799,L1,244.8366,320.6145,11.1,319,3
2018042911420448,125.7413733,28.3655459,L1,244.8235,320.6145,11.2,319,3
2018042911534310,125.8373802,28.3651837,L1,244.8235,320.6145,10.8,319,3
2018042911575233,125.8708143,28.36554485,L1,244.6271,320.6145,10.9,319,3
2018042911595703,125.886103,28.36532174,L1,244.6271,320.6145,11.3,319,3
2018042912021335,125.9065438,28.36586264,L1,244.6271,320.6145,10.9,319,3
2018042912093391,125.9600719,28.36563711,L1,244.6271,320.6145,11.1,319,3
2018042912114709,125.9812581,28.3657346,L1,244.6271,320.6145,10.9,319,3
2018042912201190,126.0550587,28.36599435,L1,244.6271,320.6145,10.9,319,3
2018042912211403,126.0641522,28.36602346,L1,244.6271,320.6145,10.8,319,3
2018042912310390,126.1396258,28.36598444,L1,244.6271,320.6145,11.1,319,3
2018042912315958,126.1515129,28.36610261,L1,244.6271,320.6145,11.1,319,3
2018042910393113,128.3848237,28.57872258,L1,239.8355,309.8739,9,323,7
2018042910452870,128.3657247,28.53923287,L1,239.7969,310.2977,9.19,323,7
2018042910562551,128.3281099,28.46573416,L1,239.7969,310.2977,8.89,323,7
2018042910574615,128.3220598,28.45682881,L1,239.7969,310.2977,9.12,323,7
2018042911021535,128.3089867,28.42663905,L1,239.7969,310.2977,8.61,323,7
2018042911044336,128.2977769,28.40951417,L1,239.7332,310.2977,9.18,323,7
2018042911120379,128.2750662,28.36090894,L1,239.7332,310.2977,9.35,323,7
2018042911183453,128.2546786,28.31730952,L1,239.4534,310.2977,8.93,323,7
2018042911260294,128.2263608,28.2668177,L1,239.4534,310.3451,9.03,323,7
2018042911271663,128.2227847,28.25917353,L1,239.4534,310.3451,9.09,323,7
2018042911280113,128.2198628,28.25317198,L1,239.4534,310.3451,9.2,323,7
2018042911301647,128.2137319,28.23903031,L1,239.4534,310.3451,8.88,323,7
2018042911310422,128.2090645,28.23312408,L1,239.4534,310.3451,9.01,323,7
2018042910311414,126.7460706,27.50245607,L1,289.2861,379.2917,0,327,1
2018042910394435,126.7674537,27.4417182,L1,289.2861,379.8642,0,327,1
2018042910432401,126.7733357,27.41453693,L1,289.2861,380.2719,0,327,1
2018042910542279,126.8126196,27.33697637,L1,289.2861,380.2719,0,327,1
2018042910571301,126.8196196,27.31613049,L1,289.2861,380.2719,0,327,1
2018042911002947,126.8329252,27.29267453,L1,289.2861,380.2719,0,327,1
2018042911044305,126.8389679,27.26190499,L1,289.2861,380.2719,0,327,1
2018042911054513,126.843218,27.25581527,L1,289.2861,380.2719,0,327,1
2018042911063669,126.8483146,27.24999974,L1,289.2861,380.2719,0,327,1
2018042911072751,126.8515551,27.24215474,L1,289.2861,380.4449,0,327,1
2018042911092361,126.8583883,27.22886708,L1,289.2861,380.4449,0,327,1
2018042911101466,126.8600964,27.22440452,L1,289.2861,380.4449,0,327,1
2018042911123926,126.8681692,27.20595499,L1,289.2861,380.4449,0,327,1
2018042911171320,126.8797777,27.17426718,L1,289.2861,380.4449,0,327,1
2018042911193785,126.8867123,27.15608062,L1,289.2861,380.4449,0,327,1
2018042911221567,126.8962881,27.13824032,L1,289.2861,380.4449,0,327,1
2018042911282101,126.9118094,27.09385108,L1,289.2861,380.4449,0,327,1
2018042911322514,126.9204418,27.06539868,L1,289.2861,380.4449,0,327,1
2018042911425995,126.9599025,26.98902314,L1,289.2861,380.4449,0,327,1
2018042911455758,126.9664405,26.96786945,L1,289.2861,380.4449,0,327,1
2018042911493378,126.9755841,26.94317759,L1,289.2861,380.4449,0,327,1
2018042911502189,126.9765563,26.93692518,L1,289.2861,380.4449,0,327,1
2018042911514710,126.9821008,26.92695915,L1,289.2861,380.4449,0,327,1
2018042910363935,128.3994297,28.59428814,L1,234.9378,300.2355,11,330,8
2018042910395179,128.3879338,28.57315123,L1,234.9378,300.2355,10.8,330,8
2018042910460945,128.3676461,28.53074725,L1,234.7781,300.2355,10.9,330,8
2018042910511748,128.3518072,28.49578403,L1,234.7781,300.2355,10.9,330,8
2018042910560212,128.3339553,28.46410581,L1,234.7781,300.2355,10.8,330,8
2018042910574912,128.3254347,28.45218615,L1,234.7781,300.2355,11.1,330,8
2018042911022613,128.313319,28.42092724,L1,234.7781,300.2355,11,330,8
2018042911061274,128.2994154,28.39613485,L1,234.7781,300.4148,11,330,8
2018042911133500,128.2753737,28.34580822,L1,234.7781,300.4148,11,330,8
2018042911143773,128.2715079,28.33928089,L1,234.7781,300.4446,10.7,330,8
2018042911174561,128.2618202,28.31789414,L1,234.7781,300.4446,11.3,330,8
2018042911202314,128.2530669,28.30068919,L1,234.7781,300.4446,10.9,330,8
2018042911272330,128.2282112,28.2535433,L1,234.7781,300.4446,10.9,330,8
2018042911282433,128.2251583,28.24626951,L1,234.7781,300.4446,11,330,8
2018042910325629,124.5570936,26.39576197,L1,244.9389,319.6919,10.9,345,19
2018042910400285,124.5222839,26.35525116,L1,244.9389,320.1766,11.5,345,19
2018042910465710,124.4883196,26.31504789,L1,244.9389,320.1766,11,345,19
2018042910501035,124.4723014,26.29761861,L1,244.6645,320.3089,11,345,19
2018042910583557,124.4271418,26.24897831,L1,244.292,320.3089,11.1,345,19
2018042911142465,124.346383,26.15802857,L1,244.292,320.3633,10.7,345,19
2018042911153924,124.3404545,26.15056572,L1,244.292,320.3633,11.3,345,19
2018042911162203,124.3365055,26.14681316,L1,244.292,320.3633,10.8,345,19
2018042911172301,124.3340261,26.14072098,L1,244.292,320.3633,11.3,345,19
2018042911194949,124.3185648,26.12734618,L1,244.292,320.3633,11.2,345,19
2018042911204386,124.3173953,26.12106113,L1,244.292,320.3633,10.8,345,19
2018042911233547,124.2990008,26.10515999,L1,244.292,320.3633,10.8,345,19
2018042911275824,124.2760695,26.08068046,L1,244.292,320.3633,11.2,345,19
2018042911284364,124.2699054,26.07662417,L1,244.292,320.3633,10.7,345,19
2018042910424248,124.5143193,26.33504116,L1,289.8696,379.5494,0,360,20
2018042910452508,124.4999135,26.31967531,L1,289.5556,379.8591,0,360,20
2018042910464060,124.4900991,26.31239082,L1,289.5556,379.8591,0,360,20
2018042910492228,124.4775265,26.29708628,L1,289.5556,379.9621,0,360,20
2018042910513117,124.468334,26.28533096,L1,289.5556,379.9621,0,360,20
2018042910572929,124.4364192,26.25075419,L1,289.4513,379.9621,0,360,20
2018042910583538,124.4320496,26.24414365,L1,289.4513,379.9621,0,360,20
2018042911000236,124.4260968,26.2363187,L1,289.4513,379.9621,0,360,20
2018042911044657,124.402302,26.2091464,L1,289.4513,379.9621,0,360,20
2018042911084078,124.3773917,26.18544452,L1,289.4513,380.4501,0,360,20
2018042911193085,124.3238958,26.12421339,L1,289.4513,380.4501,0,360,20
2018042911223203,124.3088591,26.10795638,L1,289.4513,380.4501,0,360,20
2018042911252941,124.2974123,26.0901872,L1,289.4513,380.4501,0,360,20
2018042910344107,127.3659108,28.59188649,L1,274.9961,349.9403,8.95,365,2
2018042910405947,127.3588712,28.54007761,L1,274.9961,349.9403,8.99,365,2
2018042910495962,127.3436258,28.46748211,L1,274.7592,350.2981,8.67,365,2
2018042910514518,127.3425165,28.45210114,L1,274.7592,350.2981,8.75,365,2
2018042910543529,127.3373026,28.42871579,L1,274.7592,350.2981,9.08,365,2
2018042911044017,127.3228199,28.346013,L1,274.7592,350.3438,8.83,365,2
2018042911131384,127.3099385,28.27583634,L1,274.7592,350.3438,8.98,365,2
2018042911171302,127.3040761,28.24273161,L1,274.7592,350.4605,9.1,365,2
2018042911181287,127.303012,28.23528322,L1,274.7592,350.4605,8.86,365,2
2018042911191064,127.3029226,28.22826086,L1,274.7592,350.4605,9.04,365,2
2018042911220458,127.2990689,28.20216342,L1,274.6738,350.4605,9,365,2
2018042911245961,127.2922021,28.18017025,L1,274.6738,350.4605,8.9,365,2
2018042911272147,127.2897205,28.16068366,L1,274.6738,350.4605,9,365,2
2018042911343158,127.2788208,28.10220888,L1,274.6738,350.5098,8.84,365,2
2018042911402383,127.269615,28.05359775,L1,274.6738,350.5098,9.17,365,2
