时间,经度,纬度,传感器类型,L1A_1,L1A_2,L1A_3,信号源批号,目标编号
2018042910301771,124.5820559,26.40526389,L1,254.9113,330.0825,8.91,304,16
2018042910321457,124.5720359,26.39414622,L1,254.9113,330.0825,9.17,304,16
2018042910344851,124.5576621,26.37969607,L1,254.9113,330.1718,8.61,304,16
2018042910402872,124.5356499,26.34727128,L1,254.9113,330.2486,9.21,304,16
2018042910442647,124.5106738,26.32440806,L1,254.9113,330.5506,8.95,304,16
2018042910464221,124.4982197,26.31092341,L1,254.6611,330.5506,9.12,304,16
2018042910533665,124.4610855,26.27198353,L1,254.6611,330.5506,8.88,304,16
2018042910594991,124.4358443,26.23618653,L1,254.6611,330.5506,9,304,16
2018042911011074,124.4280269,26.22832465,L1,254.6611,330.5506,9.03,304,16
2018042911074666,124.3907055,26.19124503,L1,254.6611,330.5506,8.95,304,16
2018042911203892,124.3286084,26.11753786,L1,254.6611,330.5506,8.96,304,16
2018042911222567,124.3159235,26.10688235,L1,254.6611,330.5506,9.16,304,16
2018042911262679,124.2954222,26.08280735,L1,254.5711,330.5506,8.98,304,16
2018042911275387,124.2883775,26.07513611,L1,254.5711,330.5506,9.21,304,16
2018042911290091,124.2805389,26.06889802,L1,254.5711,330.5506,9.2,304,16
2018042911304911,124.272305,26.05853086,L1,254.5711,330.5506,8.82,304,16
2018042910363624,128.3803465,28.6010825,L1,14.99677,399.9407,10.9,314,4
2018042910494801,128.3355858,28.51327298,L1,14.99677,399.9407,11.1,314,4
2018042910502580,128.341266,28.50915954,L1,14.99677,399.9407,10.9,314,4
2018042910522978,128.3242238,28.49466852,L1,14.99677,399.9407,11.2,314,4
2018042910572706,128.3093343,28.46106713,L1,14.99185,399.9407,11,314,4
2018042910594882,128.2989233,28.44570509,L1,14.98958,399.9407,11.2,314,4
2018042911001901,128.2983713,28.44226997,L1,14.98568,400.7054,11.1,314,4
2018042911015797,128.2937651,28.43128533,L1,14.98568,400.7054,11.4,314,4
2018042911070378,128.2764843,28.39703439,L1,14.98568,400.7054,11.1,314,4
2018042911115475,128.2642903,28.36431041,L1,14.98568,400.7054,10.7,314,4
2018042911192227,128.2360157,28.31360119,L1,14.9846,400.7054,11.3,314,4
2018042911204131,128.232018,28.30516844,L1,14.97926,400.7054,11,314,4
2018042911251322,128.216496,28.27494089,L1,14.97926,400.7054,10.8,314,4
2018042911294589,128.2055246,28.24430294,L1,14.97926,400.7054,11.1,314,4
2018042910352692,128.3889297,28.60430555,L1,19.99747,370.4677,8.88,317,6
2018042910394707,128.3772736,28.5755813,L1,19.99747,370.4677,8.8,317,6
2018042910405390,128.3712222,28.56811851,L1,19.97983,370.4677,9.12,317,6
2018042910414692,128.3669661,28.56229049,L1,19.97983,370.4677,8.98,317,6
2018042910423143,128.36495,28.55715423,L1,19.97983,370.4677,8.45,317,6
2018042910480152,128.3475937,28.52007019,L1,19.97983,370.4677,8.97,317,6
2018042910485731,128.3441735,28.51393494,L1,19.97983,370.4677,8.91,317,6
2018042910511054,128.3370475,28.4988603,L1,19.97983,370.4677,8.64,317,6
2018042910553032,128.3236708,28.47016831,L1,19.97983,370.4677,8.95,317,6
2018042910592163,128.307311,28.44447669,L1,19.97983,370.4677,8.83,317,6
2018042911023944,128.2976228,28.42169045,L1,19.97983,370.5953,8.94,317,6
2018042911045949,128.289008,28.4062364,L1,19.97983,370.5953,8.94,317,6
2018042911141170,128.258272,28.34430488,L1,19.97983,370.5953,9.11,317,6
2018042911153396,128.2533212,28.33519586,L1,19.97983,370.5953,9.08,317,6
2018042911173576,128.2464665,28.32153561,L1,19.97983,370.5953,9.38,317,6
2018042911193579,128.239819,28.30875882,L1,19.97983,370.5953,9.03,317,6
2018042911245729,128.2199578,28.27254216,L1,19.97983,370.5953,9.05,317,6
2018042910285974,125.1396049,28.3640352,L1,244.8366,319.7666,11.1,319,3
2018042910341884,125.1766262,28.36521915,L1,244.8366,319.7666,11.2,319,3
