目标编号,信号源批号,传感器类型,L1A_1,L1A_2,L1A_3
101,1014,L1,244.7023417,320.3069833,10.99166667
104,1044,L1,289.6257,380.4645333,0
107,1074,L1,254.67335,330.3558214,8.957142857
110,1104,L1,294.2063,390.2998583,7.979166667
