信号源名称,传感器类型,RA_1_1,RA_1_2,RA_2_1,RA_2_2,RA_3_1,RA_3_2,RA_4_1,RA_4_2
DRZ-60,R,3,"2011, 2105.6",2,"15.200, 20.100, 30, 40.400",1,"1001.6, 1105.3, 1201.7",2,0.78
DRZ-59,R,2,"2012.5, 2031.2, 2053, 2072.5",2,"10.400, 15.100, 20.300",1,1105.6,2,0.56
DRZ-47,R,2,"2034.5, 2057, 2071, 2091.4",2,"10.200, 15.200, 20.300",1,1052.2,2,0.56
DRH-8,R,3,"3101, 3502.5",2,"3.2000, 6.4000, 12.800, 25.600, 51.200",2,"821.60, 960, 1102, 1251.5",10,"10, 0.10000, 10, 20, 30, 40"
DRJ-72,R,3,"9102, 9503.6",2,"10.200, 20.500, 41.100",2,"1501, 1701.4, 2005",2,0.89
DRJ-62,R,3,"3401, 3921.7",2,"10.200, 21.200, 41",2,"1503, 1702.4, 2000",2,0.55
DRK-89,R,2,"8551.2, 8850, 9154.2, 9452",2,"5.2000, 10.400, 20.800",1,1302.1,2,0.67
DRK-67,R,3,"3101.2, 3411",2,"8.3000, 15.600, 22.800, 50.600",3,"1150.5, 1260",2,0.35
DRK-56,R,3,"3101.5, 3501.3",2,"8.4000, 15.500, 22.800, 50.900",3,"980.80, 1210",2,0.35
DRK-40,R,3,"1351, 1451.3",2,"18.500, 32.500, 56.800, 100.20",2,"781, 920.50, 1201",2,0.156
DRU-7182,R,3,"5110.4, 5150.5",2,"20.500, 51.200",1,1201.4,2,0.33
DRU-7862,R,3,"5520.2, 5551",2,"20.500, 51.200",1,1211.4,2,0.34
DRU-7872,R,3,"9201, 9251.6",2,"15.600, 24.800, 35.900, 70.500",2,"891.20, 1021.5, 1106.5",2,0.29
DRB-7A,R,3,"9600.5, 9710.2",2,"14, 28.300, 42.500, 85.100",3,"1050.2, 1210.8",2,0.25
DRB-7S,R,3,"9601.1, 9710.4",2,"28.300, 42.500, 85.100, 171.20",2,"1051, 1090, 1130.2, 1170.3",2,0.19
DRQ-7646,R,3,"9380, 9440",2,"1.2000, 2.5000, 4",2,"562, 1105",1,0
DRQ-7645,R,3,"9380, 9440",2,"1.1000, 2, 3",2,"762, 1005.5",1,0
DRQ-7699N,R,3,"9380, 9440",2,"1.2000, 2.5000, 4.5000",2,"962, 1125.3",2,0.787
DRN-8799I7,R,3,"9380, 9440",2,"3.8000, 8.1000, 16.200, 32.500",3,"1121, 1215.5",2,0.336
DRN-8789G,R,3,"9380, 9440",2,"3.9000, 7.9000, 16, 32.600",3,"1181, 1235.5",2,0.536
DRP-4857-80S81,R,3,"9410, 9470",2,"0.08, 0.15, 0.3, 0.7, 1",2,"416.70, 666.70, 1000, 1333",1,0
DRW-7958NPⅡ,R,3,"9380, 9440",2,"0.08, 0.15, 0.3, 0.5, 1",2,"510.50, 810.60, 1000, 1250",1,0
DRX-6Z,R,2,"5100, 5140, 5180, 5220, 9140, 9180, 9220, 9260",2,"2.5000, 5, 10, 20, 40, 80, 160",2,"505, 670, 812, 1020, 1180, 1230, 1400",9,"0.25, 10, 50, 90, 130"
DRL-75,R,3,"5150, 5250",2,"5.2000, 10.400, 20.800, 41.600",2,"702, 890, 1200, 1303",9,"0.35, 10, 20, 30, 40"
DRL-49,R,3,"4150, 4250",2,"5.2000, 10.400, 20.800, 41.600",2,"701, 890.50, 1202, 1301",9,"0.35, 10, 20, 30, 40"
